Timestamp,US01M,US03MY,US02Y,US05Y,US10Y,US20Y,US30Y,FEDFUNDS,TIP,TIP_Vol,TIPS,TIPS_Vol,VIX,DJT,DJT_Vol,XLE,XLE_Vol,XLF,XLF_Vol,XLI,XLI_Vol,XLK,XLK_Vol,XLP,XLP_Vol,XLU,XLU_Vol,XLV,XLV_Vol,XLY,XLY_Vol,VIX,VIX3M,VIX9D,VVIX,UVIX,UVIX_Vol,PC,PCC,TICK,TICK.NQ,TICK.US,TICKI,TICKQ,TKVD.US,1/VOLX,1/VOLX_Vol,VIXM/VIXY,VIXM/VIXY_Vol,XLY*XLK/(XLP*XLU),XLY*XLK/(XLP*XLU)_Vol,ATHI.NQ-ATLO.NQ,ATHI.US-ATLO.US,HYG/UB1!,HYG/UB1!_Vol,6A1!,6A1!_Vol,6B1!,6B1!_Vol,6C1!,6C1!_Vol,6E1!,6E1!_Vol,6J1!,6J1!_Vol,6S1!,6S1!_Vol,CL1!,CL1!_Vol,CL2!,CL2!_Vol,HG1!,HG1!_Vol,PL1!,PL1!_Vol,SI1!,SI1!_Vol,GC1!,GC1!_Vol,ES1!,ES1!_Vol,NG1!,NG1!_Vol,YM1!,YM1!_Vol,RTY1!,RTY1!_Vol,ZT1!,ZT1!_Vol,ZF1!,ZF1!_Vol,ZN1!,ZN1!_Vol,ZB1!,ZB1!_Vol,UB1!,UB1!_Vol,RB1!,RB1!_Vol,RB2!,RB2!_Vol
2023:11:13 13:28:52,5.29,5.426,5.064,4.682,4.652,4.978,4.768,5.33,103.64,2922891,25.96,300,15.02,14426.5,96850000,83.41,17291783,33.91,35153488,102.55,9576284,179.52,6675179,68.96,9266278,60.32,14015530,126.27,10401721,161.4,5156119,15.02,16.52,12.78,85.66,23.39,4668936,0.967386,1.070419,-173,-5.0,-38.0,-11,566,-545567.0,0.06664445184938353,1930.0,0.9124748490945674,4449640.0,6.965588016272072,35113106.0,202.0,440.0,0.632822429906542,35604254.0,0.6378,36059.0,1.2252,32789.0,0.72355,11711.0,1.0684,62275.0,0.006625,54924.0,1.1092,4743.0,77.2,56120.0,77.19,22950.0,3.625,46288.0,852.7,11058.0,22.155,17678.0,1939.3,62827.0,4422.0,163667.0,3.171,28153.0,34292.0,22401.0,1706.2,19905.0,101.21484375,131604.0,104.9140625,238615.0,107.3125,331026.0,113.0625,78244.0,117.03125,41057.0,2.1873,3116.0,2.1649,3858.0
2023:11:13 13:28:53,5.29,5.426,5.064,4.682,4.652,4.978,4.768,5.33,103.64,2922891,25.96,300,15.03,14426.5,96850000,83.41,17291783,33.91,35153488,102.55,9576284,179.52,6675179,68.96,9266278,60.32,14015530,126.27,10401721,161.4,5156119,15.03,16.52,12.78,85.66,23.39,4668936,0.967386,1.070419,-173,-5.0,-38.0,-11,566,-545567.0,0.06664445184938353,1930.0,0.9124748490945674,4449640.0,6.965588016272072,35113106.0,202.0,440.0,0.632822429906542,35604324.0,0.63785,36061.0,1.2252,32790.0,0.72355,11711.0,1.06845,62280.0,0.006625,54924.0,1.1092,4743.0,77.2,56120.0,77.19,22950.0,3.625,46288.0,852.7,11058.0,22.16,17680.0,1939.3,62827.0,4422.0,163667.0,3.172,28154.0,34293.0,22402.0,1706.2,19905.0,101.21484375,131606.0,104.9140625,238615.0,107.3125,331026.0,113.0625,78247.0,117.0625,41083.0,2.1873,3116.0,2.1649,3858.0
2023:11:13 13:28:56,5.29,5.426,5.064,4.682,4.652,4.978,4.768,5.33,103.64,2922891,25.96,300,15.02,14426.5,96850000,83.41,17291783,33.91,35153488,102.55,9576284,179.52,6675179,68.96,9266278,60.32,14015530,126.27,10401721,161.4,5156119,15.02,16.52,12.78,85.66,23.39,4668936,0.967386,1.070419,-173,-16.0,-59.0,-11,566,-537403.0,0.06664445184938353,1930.0,0.9124748490945674,4449640.0,6.965588016272072,35113106.0,202.0,441.0,0.6326534970635345,35604353.0,0.63785,36073.0,1.2252,32790.0,0.72355,11711.0,1.06845,62280.0,0.006625,54924.0,1.10925,4744.0,77.2,56122.0,77.19,22950.0,3.6255,46310.0,852.7,11058.0,22.16,17691.0,1939.3,62834.0,4422.25,163726.0,3.172,28154.0,34291.0,22413.0,1706.0,19913.0,101.21484375,131980.0,104.921875,238943.0,107.328125,331046.0,113.0625,78270.0,117.0625,41086.0,2.1873,3116.0,2.1649,3858.0
2023:11:13 13:28:57,5.29,5.426,5.064,4.682,4.652,4.978,4.768,5.33,103.64,2922891,25.96,300,15.02,14426.5,96850000,83.41,17291783,33.91,35153488,102.55,9576284,179.52,6675179,68.96,9266278,60.32,14015530,126.27,10401721,161.4,5156119,15.02,16.52,12.78,85.66,23.39,4668936,0.967386,1.070419,-173,-16.0,-59.0,-11,566,-537403.0,0.06664445184938353,1930.0,0.9124748490945674,4449640.0,6.965588016272072,35113106.0,202.0,441.0,0.6326534970635345,35604353.0,0.63785,36073.0,1.2252,32790.0,0.72355,11711.0,1.06845,62280.0,0.006625,54924.0,1.10925,4744.0,77.2,56122.0,77.19,22950.0,3.625,46329.0,852.8,11060.0,22.16,17691.0,1939.3,62834.0,4422.0,163760.0,3.172,28156.0,34292.0,22414.0,1706.0,19913.0,101.21484375,131982.0,104.921875,239027.0,107.328125,331046.0,113.0625,78270.0,117.0625,41086.0,2.1873,3116.0,2.1649,3858.0
2023:11:13 13:28:58,5.29,5.426,5.064,4.682,4.652,4.978,4.768,5.33,103.64,2922891,25.96,300,15.02,14426.5,96850000,83.41,17291783,33.91,35153488,102.55,9576284,179.52,6675179,68.96,9266278,60.32,14015530,126.27,10401721,161.4,5156119,15.02,16.52,12.78,85.66,23.39,4668936,0.967386,1.070419,-173,-16.0,-59.0,-11,566,-537403.0,0.06664445184938353,1930.0,0.9124748490945674,4449640.0,6.965588016272072,35113106.0,202.0,441.0,0.6326534970635345,35604353.0,0.63785,36073.0,1.2252,32790.0,0.72355,11711.0,1.06845,62280.0,0.006625,54924.0,1.10925,4744.0,77.2,56122.0,77.19,22950.0,3.625,46329.0,852.8,11060.0,22.16,17691.0,1939.3,62834.0,4422.25,163763.0,3.173,28162.0,34292.0,22414.0,1706.0,19913.0,101.21484375,131984.0,104.921875,239027.0,107.328125,331046.0,113.0625,78270.0,117.0625,41086.0,2.1873,3116.0,2.1649,3858.0
2023:11:13 13:29:01,5.29,5.426,5.064,4.682,4.652,4.978,4.768,5.33,103.64,2922891,25.96,300,15.02,14426.5,96850000,83.41,17291783,33.91,35153488,102.55,9576284,179.52,6675179,68.96,9266278,60.32,14015530,126.27,10401721,161.4,5156119,15.02,16.52,12.78,85.66,23.39,4668936,0.967386,1.070419,-173,-3.0,-42.0,-11,566,-553998.0,0.06664445184938353,1930.0,0.9124748490945674,4449640.0,6.965588016272072,35113106.0,203.0,442.0,0.6326534970635345,35604371.0,0.63785,36073.0,1.2253,32792.0,0.7236,11724.0,1.0685,62310.0,0.006625,54924.0,1.10925,4744.0,77.21,56123.0,77.2,22952.0,3.6255,46337.0,853.0,11061.0,22.165,17695.0,1939.5,62843.0,4422.25,163770.0,3.174,28169.0,34293.0,22416.0,1706.2,19922.0,101.21484375,132192.0,104.921875,239030.0,107.328125,331050.0,113.0625,78272.0,117.0625,41104.0,2.1873,3116.0,2.1649,3858.0
2023:11:13 13:29:02,5.29,5.426,5.064,4.682,4.652,4.978,4.768,5.33,103.64,2922891,25.96,300,15.02,14426.5,96850000,83.41,17291783,33.91,35153488,102.55,9576284,179.52,6675179,68.96,9266278,60.32,14015530,126.27,10401721,161.4,5156119,15.02,16.52,12.78,85.66,23.39,4668936,0.967386,1.070419,-173,-3.0,-42.0,-11,566,-553998.0,0.06664445184938353,1930.0,0.9124748490945674,4449640.0,6.965588016272072,35113106.0,203.0,442.0,0.6326534970635345,35604372.0,0.63785,36073.0,1.2253,32792.0,0.7236,11724.0,1.0685,62314.0,0.0066255,54947.0,1.10925,4744.0,77.24,56137.0,77.21,22954.0,3.6255,46337.0,853.0,11061.0,22.165,17696.0,1939.5,62843.0,4422.25,163790.0,3.174,28178.0,34293.0,22416.0,1706.1,19925.0,101.21484375,132259.0,104.921875,239030.0,107.328125,331175.0,113.09375,78369.0,117.0625,41104.0,2.1873,3118.0,2.1649,3860.0
2023:11:13 13:29:05,5.29,5.426,5.064,4.682,4.652,4.978,4.768,5.33,103.64,2922891,25.96,300,15.02,14426.5,96850000,83.41,17291783,33.91,35153488,102.55,9576284,179.52,6675179,68.96,9266278,60.32,14015530,126.27,10401721,161.4,5156119,15.02,16.52,12.78,85.66,23.39,4668936,0.967386,1.070419,-173,3.0,-35.0,-11,566,-556937.0,0.06664445184938353,1930.0,0.9124748490945674,4449640.0,6.965588016272072,35113106.0,203.0,441.0,0.6324846543901789,35604422.0,0.63785,36073.0,1.2252,32874.0,0.72355,11757.0,1.0685,62325.0,0.0066255,54998.0,1.10925,4745.0,77.24,56140.0,77.21,22955.0,3.6255,46338.0,853.0,11061.0,22.17,17697.0,1939.5,62845.0,4422.25,163791.0,3.177,28211.0,34293.0,22416.0,1706.2,19929.0,101.21484375,132337.0,104.9296875,239654.0,107.328125,331587.0,113.09375,78399.0,117.09375,41155.0,2.1873,3118.0,2.1649,3860.0
2023:11:13 13:29:07,5.29,5.426,5.064,4.682,4.652,4.978,4.768,5.33,103.64,2922891,25.96,300,15.02,14426.5,96850000,83.41,17291783,33.91,35153488,102.55,9576284,179.52,6675179,68.96,9266278,60.32,14015530,126.27,10401721,161.4,5156119,15.02,16.52,12.78,85.66,23.39,4668936,0.967386,1.070419,-173,3.0,-35.0,-11,566,-556937.0,0.06664445184938353,1930.0,0.9124748490945674,4449640.0,6.965588016272072,35113106.0,203.0,441.0,0.6324846543901789,35604461.0,0.6379,36098.0,1.2253,32888.0,0.72355,11757.0,1.0685,62335.0,0.0066255,55054.0,1.1093,4747.0,77.24,56142.0,77.23,22956.0,3.625,46340.0,853.0,11061.0,22.17,17702.0,1939.6,62853.0,4422.5,163849.0,3.177,28211.0,34294.0,22420.0,1706.2,19931.0,101.21484375,132355.0,104.9296875,239658.0,107.34375,331588.0,113.09375,78399.0,117.09375,41194.0,2.1879,3120.0,2.1649,3860.0
2023:11:13 13:29:08,5.29,5.426,5.064,4.682,4.652,4.979,4.768,5.33,103.64,2922891,25.96,300,15.02,14426.5,96850000,83.41,17291783,33.91,35153488,102.55,9576284,179.52,6675179,68.96,9266278,60.32,14015530,126.27,10401721,161.4,5156119,15.02,16.52,12.78,85.66,23.39,4668936,0.967386,1.070419,-173,-11.0,-45.0,-11,566,-564530.0,0.06664445184938353,1930.0,0.9124748490945674,4449640.0,6.965588016272072,35113106.0,203.0,440.0,0.6324846543901789,35604495.0,0.6379,36098.0,1.2253,32888.0,0.72355,11757.0,1.0685,62335.0,0.0066255,55054.0,1.1093,4747.0,77.24,56142.0,77.23,22956.0,3.625,46340.0,853.0,11061.0,22.17,17702.0,1939.6,62853.0,4422.5,163849.0,3.177,28211.0,34294.0,22420.0,1706.2,19931.0,101.21484375,132355.0,104.9296875,239846.0,107.34375,331588.0,113.09375,78399.0,117.09375,41228.0,2.1879,3120.0,2.1649,3860.0
