Timestamp,US01M,US03MY,US02Y,US05Y,US10Y,US20Y,US30Y,FEDFUNDS,TIP,TIP_Vol,TIPS,TIPS_Vol,VIX,DJT,DJT_Vol,XLE,XLE_Vol,XLF,XLF_Vol,XLI,XLI_Vol,XLK,XLK_Vol,XLP,XLP_Vol,XLU,XLU_Vol,XLV,XLV_Vol,XLY,XLY_Vol,VIX,VIX3M,VIX9D,VVIX,UVIX,UVIX_Vol,PC,PCC,TICK,TICK.NQ,TICK.US,TICKI,TICKQ,TKVD.US,1/VOLX,1/VOLX_Vol,VIXM/VIXY,VIXM/VIXY_Vol,XLY*XLK/(XLP*XLU),XLY*XLK/(XLP*XLU)_Vol,ATHI.NQ-ATLO.NQ,ATHI.US-ATLO.US,HYG/UB1!,HYG/UB1!_Vol,6A1!,6A1!_Vol,6B1!,6B1!_Vol,6C1!,6C1!_Vol,6E1!,6E1!_Vol,6J1!,6J1!_Vol,6S1!,6S1!_Vol,CL1!,CL1!_Vol,CL2!,CL2!_Vol,HG1!,HG1!_Vol,PL1!,PL1!_Vol,SI1!,SI1!_Vol,GC1!,GC1!_Vol,ES1!,ES1!_Vol,NG1!,NG1!_Vol,YM1!,YM1!_Vol,RTY1!,RTY1!_Vol,ZT1!,ZT1!_Vol,ZF1!,ZF1!_Vol,ZN1!,ZN1!_Vol,ZB1!,ZB1!_Vol,UB1!,UB1!_Vol,RB1!,RB1!_Vol,RB2!,RB2!_Vol
2023:11:13 15:09:02,,,,,,,,,103.27,138857,25.96,300,,,,,,,,,,,,,,,,,,,,,,,,23.41,425193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.1953125,208263.0,104.78125,410724.0,107.03125,614100.0,112.46875,165121.0,116.25,86198.0,,,,
2023:11:13 15:09:03,,,,,,,,,103.27,138858,25.96,300,,,,,,,,,,,,,,,,,,,,,,,,23.41,425193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.1953125,208263.0,104.78125,410724.0,107.03125,614100.0,112.46875,165121.0,116.25,86198.0,2.202,8802.0,2.1805,10779.0
2023:11:13 15:09:04,,,,,,,,,103.27,138858,25.96,300,15.03,,,,,,,,,178.14,661187,,,59.58,1784556,125.86,1469637,160.51,646171,15.03,16.95,14.19,86.86,23.41,425193,,,,,,,,,,,,,,,,,,,0.6372,43895.0,1.2243,41288.0,0.724,18689.0,1.06935,81139.0,0.00662,72068.0,1.1111,6077.0,77.87,95740.0,77.84,44425.0,3.6445,58998.0,854.9,14656.0,22.06,29571.0,1937.5,86399.0,4412.0,363477.0,3.176,60271.0,34298.0,43442.0,1697.9,57574.0,101.1953125,208263.0,104.78125,410725.0,107.03125,614100.0,112.46875,165121.0,116.25,86198.0,2.202,8803.0,2.1797,10782.0
2023:11:13 15:09:08,5.29,5.426,5.073,4.71,4.686,5.012,4.799,5.33,103.27,138863,25.96,300,14.92,14354.62,11960000,83.79,2128416,33.875,2976531,102.39,916509,178.14,661187,69.07,1094326,59.58,1784866,125.86,1469648,160.51,646171,14.92,16.95,14.19,86.86,23.41,425193,0.876355,1.054013,-173,-125.0,-230.0,-11,566,-6404892.0,0.06684491978609625,3410.0,0.9133477669805146,447573.0,6.948220429935857,4186550.0,-195.0,-222.0,0.6354408602150537,4028365.0,0.6372,43897.0,1.2243,41288.0,0.724,18689.0,1.0694,81162.0,0.00662,72068.0,1.1111,6077.0,77.88,95754.0,77.85,44427.0,3.6445,59002.0,854.9,14656.0,22.06,29571.0,1937.6,86415.0,4412.0,363764.0,3.176,60271.0,34299.0,43462.0,1697.6,57592.0,101.1953125,208263.0,104.7890625,410726.0,107.046875,614101.0,112.46875,165121.0,116.25,86198.0,2.202,8803.0,2.1797,10782.0
2023:11:13 15:09:12,5.29,5.426,5.073,4.71,4.686,5.012,4.799,5.33,103.27,138868,25.96,300,14.92,14354.33,11980000,83.78,2129237,33.87,2979738,102.39,917009,178.17,661287,69.06,1094417,59.58,1784966,125.86,1469649,160.55,646174,14.92,16.95,14.19,86.86,23.41,425193,0.876355,1.054013,-173,-122.0,-215.0,-11,566,-6412141.0,0.06688963210702341,3414.0,0.9124748490945674,447673.0,6.95212891923161,4186844.0,-201.0,-234.0,0.6354408602150537,4028365.0,0.6372,43900.0,1.2243,41340.0,0.724,18734.0,1.06935,81233.0,0.0066205,72069.0,1.1111,6077.0,77.84,95801.0,77.82,44447.0,3.6445,59017.0,854.7,14657.0,22.06,29577.0,1937.6,86426.0,4412.5,364978.0,3.176,60277.0,34306.0,43557.0,1698.0,57655.0,101.1953125,208263.0,104.78125,410907.0,107.046875,614102.0,112.4375,165131.0,116.25,86198.0,2.2012,8807.0,2.1795,10799.0
2023:11:13 15:09:14,5.29,5.426,5.073,4.71,4.686,5.012,4.799,5.33,103.27,138868,25.96,300,14.92,14354.7,11990000,83.79,2129656,33.87,2979838,102.39,917009,178.17,661287,69.07,1094659,59.58,1785066,125.86,1469649,160.53,646274,14.92,16.95,14.19,86.86,23.41,425193,0.876355,1.054013,-173,-122.0,-223.0,-11,566,-6471955.0,0.06688963210702341,3414.0,0.9124748490945674,447673.0,6.9502564717172515,4187286.0,-201.0,-234.0,0.6354408602150537,4028365.0,0.63715,43904.0,1.2243,41384.0,0.72395,18741.0,1.0694,81268.0,0.0066205,72069.0,1.111,6078.0,77.85,95806.0,77.82,44448.0,3.644,59035.0,854.7,14657.0,22.06,29582.0,1937.6,86435.0,4411.25,365496.0,3.176,60277.0,34300.0,43581.0,1697.5,57674.0,101.1953125,208263.0,104.78125,410908.0,107.046875,614104.0,112.4375,165131.0,116.25,86198.0,2.2012,8808.0,2.1796,10800.0
2023:11:13 15:09:18,5.29,5.426,5.073,4.71,4.686,5.012,4.799,5.33,103.27,138868,25.96,300,14.92,14354.62,11990000,83.8,2129878,33.87,2979838,102.39,917009,178.2,661387,69.07,1094759,59.58,1785766,125.86,1469661,160.58,646304,14.92,16.95,14.19,86.86,23.41,425193,0.876355,1.054013,-173,-122.0,-223.0,-11,566,-6471955.0,0.06688963210702341,3414.0,0.9124748490945674,447673.0,6.953591894382729,4188216.0,-201.0,-238.0,0.635611723581608,4028480.0,0.63715,43910.0,1.2243,41388.0,0.7239,18748.0,1.06935,81293.0,0.00662,72134.0,1.111,6078.0,77.85,95815.0,77.82,44450.0,3.644,59041.0,854.7,14657.0,22.055,29583.0,1937.3,86442.0,4411.25,365897.0,3.176,60278.0,34298.0,43593.0,1697.4,57705.0,101.19140625,208282.0,104.78125,410908.0,107.046875,614104.0,112.4375,165390.0,116.21875,86313.0,2.2012,8808.0,2.1796,10800.0
2023:11:13 15:09:20,5.29,5.426,5.073,4.71,4.686,5.012,4.799,5.33,103.275,138968,25.96,300,14.92,14354.24,12000000,83.81,2130009,33.87,2980538,102.4,917109,178.2,661387,69.07,1094859,59.57,1785836,125.86,1469661,160.58,646304,14.92,16.95,14.19,86.81,23.41,425193,0.876355,1.054013,-173,-144.0,-169.0,-11,566,-6462116.0,0.06688963210702341,3414.0,0.9124748490945674,447673.0,6.954759191998036,4188386.0,-191.0,-225.0,0.635611723581608,4028480.0,0.6371,43917.0,1.2243,41388.0,0.7239,18750.0,1.06935,81360.0,0.00662,72134.0,1.111,6078.0,77.86,95823.0,77.82,44453.0,3.644,59048.0,854.7,14657.0,22.055,29583.0,1937.3,86445.0,4411.25,366260.0,3.176,60281.0,34297.0,43627.0,1697.3,57726.0,101.19140625,208551.0,104.7734375,410924.0,107.03125,614124.0,112.4375,165390.0,116.21875,86313.0,2.2012,8808.0,2.1796,10801.0
